molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"6444403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11571413",9,2,0,0,2,13,6,-2,805.063,5.049,1284.098,1095.781,188.317,0.000,0.000,2537.760,2.000,16.000,0.0100446,0.0176213,0.7007030,87.060,24.456,40.753,23.453,4.633,-6.992,-5.776,-5.078,4.198,-1.980,4.213,-7.867,9.308,-0.244,4,0.905,1,39.305,0.000,47.851,194.011,14,2,27,0,27,23,57,2,0.000
"11535162",10,0,0,0,0,9,6,-2,815.014,6.644,1249.319,658.943,174.610,415.767,0.000,2448.853,2.000,12.000,0.0180265,0.0135838,0.7032883,90.041,26.459,40.467,19.506,8.709,-12.698,-11.761,-8.316,218.815,-2.332,95.731,-2.409,8.867,-0.004,4,2.354,1,80.944,0.000,0.000,175.255,12,3,39,0,39,23,59,1,0.000
"16103018",1,1,0,0,0,8,0,1,464.825,9.242,726.671,273.426,90.758,138.376,224.111,1290.947,2.000,6.250,0.0661595,0.0121635,0.7890410,41.694,11.671,21.472,10.426,4.475,-5.583,-5.951,-6.332,340.517,0.058,2885.409,-3.999,9.232,1.353,2,0.512,3,100.000,167.439,0.000,73.265,7,0,15,0,15,0,31,0,0.000
"44419469",0,0,0,0,0,4,1,1,328.197,5.164,588.966,18.646,58.588,379.588,132.144,995.758,0.000,3.000,0.0267817,0.0000000,0.8187990,34.753,11.407,13.795,6.236,4.874,-5.732,-5.610,-6.274,2756.169,0.064,7837.090,-0.878,9.142,1.392,1,0.536,3,100.000,0.000,0.000,37.527,2,0,16,0,16,0,22,1,0.081
"19561091",0,0,0,0,0,6,1,0,319.359,1.404,613.265,190.765,66.225,356.275,0.000,1057.318,0.000,4.500,0.0018647,0.0000000,0.8184413,35.710,10.975,13.888,7.178,3.960,-4.506,-4.727,-6.169,2332.869,-0.457,1235.936,-0.909,8.975,1.469,3,0.229,3,100.000,0.000,0.000,54.990,4,0,16,0,16,0,24,0,1.230
"23631549",8,1,0,0,1,9,6,-2,704.943,3.890,1119.884,967.203,152.681,0.000,0.000,2210.966,1.000,11.500,0.0068437,0.0102689,0.7329036,76.550,20.453,33.213,16.093,6.065,-8.538,-7.343,-5.206,55.945,-1.475,39.612,-5.532,9.325,-0.224,2,1.517,1,54.865,0.000,24.770,152.247,11,3,27,0,27,23,50,1,0.000
"23631547",8,1,0,0,1,8,5,0,646.906,4.148,1052.757,947.660,105.098,0.000,0.000,2065.704,1.000,9.500,0.0083278,0.0090239,0.7451016,71.379,18.657,30.160,13.144,6.366,-8.671,-6.998,-5.008,188.701,-0.782,121.772,-4.751,8.831,-0.264,2,1.619,1,79.033,0.000,15.124,114.678,9,2,27,0,27,23,46,1,0.000
"44436401",0,0,0,0,0,2,0,-1,336.086,6.618,421.417,77.333,155.218,106.423,82.443,705.174,2.000,6.900,0.0621041,0.0231554,0.9091816,21.799,7.824,14.819,11.826,0.328,-2.135,-3.840,-3.509,334.171,-0.607,427.995,-3.813,9.065,1.396,4,-0.631,3,74.038,0.000,0.000,103.616,6,0,11,0,11,2,16,0,0.378
"44436401",0,0,0,0,0,2,0,-1,336.086,8.689,425.589,79.123,158.755,105.269,82.443,708.343,2.000,6.900,0.1065743,0.0229284,0.9029626,21.915,7.822,15.471,11.853,0.312,-2.192,-3.840,-3.604,309.332,-0.653,393.716,-3.883,9.052,1.381,4,-0.631,3,73.348,0.000,0.000,102.527,6,0,11,0,11,2,16,0,0.283
"44436401",0,0,0,0,0,2,0,-1,336.086,6.308,417.689,77.627,151.367,106.194,82.500,701.126,2.000,6.900,0.0567446,0.0233620,0.9137814,21.635,7.794,14.679,11.790,0.337,-2.086,-3.840,-3.434,363.482,-0.563,469.052,-3.743,9.001,1.380,4,-0.633,3,74.746,0.000,0.000,102.419,6,0,11,0,11,2,16,0,0.499
"44436401",0,0,0,0,0,2,0,-1,336.086,7.297,422.704,89.933,157.893,92.365,82.513,704.048,2.000,6.900,0.0756206,0.0230849,0.9054480,21.620,7.702,14.924,11.752,0.282,-2.153,-3.840,-3.502,315.212,-0.639,402.167,-3.912,8.959,1.329,4,-0.637,3,73.319,0.000,0.000,101.698,6,0,11,0,11,2,16,0,0.289
"5905",0,0,0,0,0,3,0,-2,354.101,8.530,441.109,124.173,218.546,15.864,82.526,745.737,3.000,8.600,0.0975581,0.0337686,0.9015904,21.916,8.208,17.842,14.607,-0.609,-2.115,-3.418,-3.200,83.836,-1.207,96.112,-5.203,9.061,1.371,3,-0.734,2,57.807,0.000,0.000,126.453,7,0,11,0,11,4,17,0,0.017
"5905",0,0,0,0,0,3,0,-2,354.101,5.365,437.272,126.295,208.117,20.354,82.506,741.600,3.000,8.600,0.0388062,0.0340649,0.9061354,21.793,8.160,16.959,14.557,-0.545,-2.072,-3.418,-3.148,105.275,-1.105,122.905,-4.995,9.007,1.380,3,-0.734,2,59.949,0.000,0.000,124.170,7,0,11,0,11,4,17,0,0.030
"25148306",1,0,0,0,0,7,0,1,368.308,4.482,685.138,402.900,38.009,114.302,129.927,1193.002,2.000,4.000,0.0168405,0.0082565,0.7939893,38.187,11.776,17.613,7.775,5.263,-6.555,-5.723,-5.411,4319.790,0.059,10000.000,-1.145,8.609,0.568,1,0.703,1,100.000,0.000,0.000,51.253,5,1,12,0,12,0,24,1,0.007
"23731287",0,0,0,0,0,5,2,-2,412.275,11.539,709.194,326.916,160.637,97.586,124.055,1245.432,1.000,8.000,0.1069153,0.0112804,0.7893689,41.410,12.772,21.295,11.467,3.201,-5.920,-5.047,-5.406,296.879,-1.152,636.568,-3.656,9.335,1.474,1,0.186,3,89.940,0.000,0.000,130.763,8,0,11,0,11,0,27,1,0.000
