SMILES,NAME,i_m_ct_format,i_sd_PUBCHEM\_COMPOUND\_CID,s_sd_PUBCHEM\_IUPAC\_INCHI,s_sd_PUBCHEM\_IUPAC\_INCHIKEY,r_sd_PUBCHEM\_EXACT\_MASS,s_sd_PUBCHEM\_MOLECULAR\_FORMULA,r_sd_PUBCHEM\_MOLECULAR\_WEIGHT,r_sd_PUBCHEM\_CACTVS\_TPSA,i_sd_Reference_for_HalfLife\_AID\_num,i_sd_Stable,r_sd_Half-Life_in_MLM_minutes,s_sd_PUBCHEM\_IUPAC\_NAME,s_sd_PUBCHEM\_IUPAC\_TRADITIONAL\_NAME,b_sd_chiral_flag,i_sd_version,s_m_source_file,i_m_source_file_index,i_lp_mmshare_version,i_f3d_flags,s_epik_input,s_epik_cmdline,r_lp_tautomer_probability,r_epik_Ionization_Penalty,r_epik_Ionization_Penalty_Charging,r_epik_Ionization_Penalty_Neutral,r_epik_State_Penalty,r_epik_Charging_Adjusted_Penalty,i_epik_Tot_Q,i_epik_Tot_abs_Q,s_st_EZ_1,s_st_EZ_2,s_lp_Force_Field,r_lp_Energy,b_lp_Chiralities_Consistent,s_lp_Variant,r_mmod_Potential_Energy-S-OPLS,r_mmod_Stretch_Energy-S-OPLS,r_mmod_Bend_Energy-S-OPLS,r_mmod_Torsional_Energy-S-OPLS,r_mmod_Improper_Torsional_Energy-S-OPLS,r_mmod_Van_der_Waal_Energy-S-OPLS,r_mmod_Electrostatic_Energy-S-OPLS,r_mmod_Solvation_Energy-S-OPLS,b_mmod_Minimization_Converged-S-OPLS,r_mmod_RMS_Derivative-S-OPLS,i_sd_Name,r_sd_PUBCHEM\_XLOGP3\_AA,s_sd_Qualifier_for_MLM_HalfLife,s_epik_Chemistry_Notes,i_qp_#stars,i_qp_#amine,i_qp_#amidine,i_qp_#acid,i_qp_#amide,i_qp_#rotor,i_qp_#rtvFG,i_qp_CNS,r_qp_mol_MW,r_qp_dipole,r_qp_SASA,r_qp_FOSA,r_qp_FISA,r_qp_PISA,r_qp_WPSA,r_qp_volume,r_qp_donorHB,r_qp_accptHB,r_qp_dip^2/V,r_qp_ACxDN^.5/SA,r_qp_glob,r_qp_QPpolrz,r_qp_QPlogPC16,r_qp_QPlogPoct,r_qp_QPlogPw,r_qp_QPlogPo/w,r_qp_QPlogS,r_qp_CIQPlogS,r_qp_QPlogHERG,r_qp_QPPCaco,r_qp_QPlogBB,r_qp_QPPMDCK,r_qp_QPlogKp,r_qp_IP(eV),r_qp_EA(eV),i_qp_#metab,r_qp_QPlogKhsa,i_qp_HumanOralAbsorption,r_qp_PercentHumanOralAbsorption,r_qp_SAfluorine,r_qp_SAamideO,r_qp_PSA,i_qp_#NandO,i_qp_RuleOfFive,i_qp_RuleOfThree,i_qp_#ringatoms,i_qp_#in34,i_qp_#in56,i_qp_#noncon,i_qp_#nonHatm,r_qp_Jm
CC[n+]1ccccc1/C=c2/n(CC)c(=O)/c(s2)=C(/N3C)Sc(c34)cccc4,6444403,2,6444403,"InChI=1S/C21H22N3OS2.ClH/c1-4-23-13-9-8-10-15(23)14-18-24(5-2)20(25)19(27-18)21-22(3)16-11-6-7-12-17(16)26-21;/h6-14H,4-5H2,1-3H3;1H/q+1;/p-1/b21-19+;",VSKYOTRJSLYFHX-UXJRWBAGSA-M,431.089,C21H22ClN3OS2,432.002,78.0,1056232,0,4.4,"(2Z,5E)-3-ethyl-2-[(1-ethylpyridin-1-ium-2-yl)methylidene]-5-(3-methyl-1,3-benzothiazol-2-ylidene)-1,3-thiazolidin-4-one;chloride","(2Z,5E)-3-ethyl-2-[(1-ethylpyridin-1-ium-2-yl)methylene]-5-(3-methyl-1,3-benzothiazol-2-ylidene)thiazolidin-4-one;chloride",0,0,ligprep_3.sdf,1,55137,0,W2NIXTFbY0hdW2NIXVtjSF1jKFtuK10xW0NIMl1bQ0gzXSkvW0NIXT1jKG4yW0NIMl1bQ0gzXSlcc1xjKGMyPU8pPUMoTjNbQ0gzXSlcU2MoYzM0KVtjSF1bY0hdW2NIXVtjSF00,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,1.0,0.0,0.0,0.0,-0.0,0.0,1,1,2_7_8_1_E,1_9_14_15_Z,S-OPLS,45.543999,1,6444403-1,87.1912155151367,24.0601844787598,31.1023139953613,6.01372861862183,0.182707786560059,120.320022583008,94.206298828125,-188.694046020508,1,0.0476503856480122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C[NH+](C)CCNC(=O)CC[C@@H](C)[C@@H](CC1)[C@@](C)([C@H](C2)OC(=O)C)[C@@H]1[C@H]([C@@H](C3)OC(=O)C)[C@H]2[C@@](C)(CC4)[C@H]3CC45OO[C@@]6(OO5)CCC(CC6)C(=O)NCC[NH+](C)C,11571413,2,11571413,"InChI=1S/C43H72N4O10/c1-27(10-13-37(50)44-20-22-46(6)7)32-11-12-33-38-34(25-36(41(32,33)5)53-29(3)49)40(4)18-19-43(26-31(40)24-35(38)52-28(2)48)56-54-42(55-57-43)16-14-30(15-17-42)39(51)45-21-23-47(8)9/h27,30-36,38H,10-26H2,1-9H3,(H,44,50)(H,45,51)/t27-,30?,31-,32-,33+,34+,35-,36+,38+,40+,41-,42?,43?/m1/s1",SBDGPZKXHQPLJY-UEPJFKMZSA-N,804.524845,C43H72N4O10,805.05258,154.0,267141,1,120.0,,,1,0,ligprep_3.sdf,2,55137,0,W0NIM11OKFtDSDNdKVtDSDJdW0NIMl1bTkhdQyg9TylbQ0gyXVtDSDJdW0NAQEhdKFtDSDNdKVtDQEBIXShbQ0gyXVtDSDJdMSlbQ0BAXShbQ0gzXSkoW0NASF0oW0NIMl0yKU9DKD1PKVtDSDNdKVtDQEBIXTFbQ0BIXShbQ0BASF0oW0NIMl0zKU9DKD1PKVtDSDNdKVtDQEhdMltDQEBdKFtDSDNdKShbQ0gyXVtDSDJdNClbQ0BIXTNbQ0gyXUM0NU9PW0NAQF02KE9PNSlbQ0gyXVtDSDJdW0NIXShbQ0gyXVtDSDJdNilDKD1PKVtOSF1bQ0gyXVtDSDJdTihbQ0gzXSlbQ0gzXQ==,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,1.0,0.0084,0.0084,0.0,-0.0,0.00842782412944647,2,2,,,S-OPLS,69.400245,1,11571413-1,-169.987396240234,43.9617881774902,132.713485717773,4.9368109703064,0.0478121303021908,104.718399047852,178.187072753906,-634.552734375,1,0.0496944300830364,11571413,5.2,>,This compound has an ester and may undergo hydrolysis at high or low pH.,9,2,0,0,2,13,6,-2,805.063,5.049,1284.098,1095.781,188.317,0.0,0.0,2537.76,2.0,16.0,0.0100446,0.0176213,0.700703,87.06,24.456,40.753,23.453,4.633,-6.992,-5.776,-5.078,4.198,-1.98,4.213,-7.867,9.308,-0.244,4,0.905,1,39.305,0.0,47.851,194.011,14,2,2,27,0,27,23,57,1.11244452339113e-09
c1ccccc1NC(=O)CC[C@@H](C)[C@@H](CC2)[C@@](C)([C@H](C3)OC(=O)C)[C@@H]2[C@H]([C@@H](C4)OC(=O)C)[C@H]3[C@@](C)(CC5)[C@H]4CC56OO[C@@]7(OO6)CCC(CC7)C(=O)Nc8ccccc8,11535162,2,11535162,"InChI=1S/C47H62N2O10/c1-29(16-19-41(52)48-34-12-8-6-9-13-34)36-17-18-37-42-38(27-40(45(36,37)5)55-31(3)51)44(4)24-25-47(28-33(44)26-39(42)54-30(2)50)58-56-46(57-59-47)22-20-32(21-23-46)43(53)49-35-14-10-7-11-15-35/h6-15,29,32-33,36-40,42H,16-28H2,1-5H3,(H,48,52)(H,49,53)/t29-,32?,33-,36-,37+,38+,39-,40+,42+,44+,45-,46?,47?/m1/s1",ASQDPWRWIJWAFR-CBKGSJONSA-N,814.440446,C47H62N2O10,815.00258,148.0,267141,1,120.0,,,1,0,ligprep_3.sdf,3,55137,0,W2NIXTFbY0hdW2NIXVtjSF1bY0hdYzFbTkhdQyg9TylbQ0gyXVtDSDJdW0NAQEhdKFtDSDNdKVtDQEBIXShbQ0gyXVtDSDJdMilbQ0BAXShbQ0gzXSkoW0NASF0oW0NIMl0zKU9DKD1PKVtDSDNdKVtDQEBIXTJbQ0BIXShbQ0BASF0oW0NIMl00KU9DKD1PKVtDSDNdKVtDQEhdM1tDQEBdKFtDSDNdKShbQ0gyXVtDSDJdNSlbQ0BIXTRbQ0gyXUM1Nk9PW0NAQF03KE9PNilbQ0gyXVtDSDJdW0NIXShbQ0gyXVtDSDJdNylDKD1PKVtOSF1jOFtjSF1bY0hdW2NIXVtjSF1bY0hdOA==,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,1.0,0.0,0.0,0.0,-0.0,0.0,0,0,,,S-OPLS,76.381428,1,11535162-1,-285.825897216797,47.1447830200195,129.392013549805,23.633020401001,0.183790802955627,175.640396118164,-550.118286132813,-111.701652526855,1,0.0461219102144241,11535162,8.2,>,This compound has an ester and may undergo hydrolysis at high or low pH.,10,0,0,0,0,9,6,-2,815.014,6.644,1249.319,658.943,174.61,415.767,0.0,2448.853,2.0,12.0,0.0180265,0.0135838,0.7032883,90.041,26.459,40.467,19.506,8.709,-12.698,-11.761,-8.316,218.815,-2.332,95.731,-2.409,8.867,-0.004,4,2.354,1,80.944,0.0,0.0,175.255,12,3,1,39,0,39,23,59,6.37207213802379e-10
n1cnn(c12)c(N[C@H](C(F)(F)F)C)c(c(n2)Cl)-c3c(F)cc(cc3F)OCCC[NH2+]C,16103018,2,16103018,"InChI=1S/C18H18ClF5N6O.ClH/c1-9(18(22,23)24)28-16-14(15(19)29-17-26-8-27-30(16)17)13-11(20)6-10(7-12(13)21)31-5-3-4-25-2;/h6-9,25,28H,3-5H2,1-2H3;1H/t9-;/m0./s1",HAFUDZOLFLXVIY-FVGYRXGTSA-N,500.091756,C18H19Cl2F5N6O,501.281076,76.4,275850,1,433.0,"5-chloro-6-[2,6-difluoro-4-[3-(methylamino)propoxy]phenyl]-N-[(2S)-1,1,1-trifluoropropan-2-yl]-[1,2,4]triazolo[1,5-a]pyrimidin-7-amine;hydrochloride","[5-chloro-6-[2,6-difluoro-4-[3-(methylamino)propoxy]phenyl]-[1,2,4]triazolo[1,5-a]pyrimidin-7-yl]-[(1S)-2,2,2-trifluoro-1-methyl-ethyl]amine;hydrochloride",1,0,ligprep_3.sdf,4,55137,0,bjFbY0hdbmMobjEyKW5jKENsKWMoYzJbTkhdW0NASF0oQyhGKShGKUYpW0NIM10pLWMzYyhGKVtjSF1jKFtjSF1jM0YpT1tDSDJdW0NIMl1bQ0gyXVtOSF1bQ0gzXQ==,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,1.0,0.0007,0.0006,0.0001,0.0004,0.00101284193782276,1,1,,,S-OPLS,47.65441,1,16103018-1,-22.0008182525635,15.658787727356,59.210334777832,25.9692783355713,1.45537292957306,96.2658004760742,66.1127166748047,-286.673126220703,1,0.031988900154829,16103018,,,,1,1,0,0,0,8,0,1,464.825,9.242,726.671,273.426,90.758,138.376,224.111,1290.947,2.0,6.25,0.0661595,0.0121635,0.789041,41.694,11.671,21.472,10.426,4.475,-5.583,-5.951,-6.332,340.517,0.058,2885.409,-3.999,9.232,1.353,2,0.512,3,100.0,167.439,0.0,73.265,7,0,0,15,0,15,0,31,0.000121695708520763
c1c(Cl)ccc(Cl)c1C(=O)/C=C/c(c2)cnc(c23)cccc3,44419469,2,44419469,InChI=1S/C18H11Cl2NO/c19-14-6-7-16(20)15(10-14)18(22)8-5-12-9-13-3-1-2-4-17(13)21-11-12/h1-11H/b8-5+,BGHOTGMQVPEHPC-VMPITWQZSA-N,327.021769,C18H11Cl2NO,328.19204,30.0,276000,0,24.6,"(E)-1-(2,5-dichlorophenyl)-3-quinolin-3-ylprop-2-en-1-one","(E)-1-(2,5-dichlorophenyl)-3-(3-quinolyl)prop-2-en-1-one",0,0,ligprep_3.sdf,5,55137,0,Q2xjKFtjSF0xKVtjSF1bY0hdYyhDbCljMUMoPU8pXFtDSF09W0NIXVxjKFtjSF0yKVtjSF1uYyhjMjMpW2NIXVtjSF1bY0hdW2NIXTM=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,0.0008,0.0,0.0008,0.0005,0.000538643664750107,0,0,7_12_16_17_E,,S-OPLS,36.274052,1,44419469-1,110.809715270996,15.8841915130615,10.4260063171387,11.3451633453369,0.133305966854095,118.712791442871,-18.0701160430908,-27.6216239929199,1,0.0475158654153347,44419469,5.2,,,0,0,0,0,0,4,1,1,328.197,5.164,588.966,18.646,58.588,379.588,132.144,995.758,0.0,3.0,0.0267817,0.0,0.818799,34.753,11.407,13.795,6.236,4.874,-5.732,-5.61,-6.274,2756.169,0.064,7837.09,-0.878,9.142,1.392,1,0.536,3,100.0,0.0,0.0,37.527,2,0,1,16,0,16,0,22,0.080527066180604
COc(cc1)c(OC)cc1C(=O)/C=C/c2ccnc(c23)cccc3,19561091,2,19561091,"InChI=1S/C20H17NO3/c1-23-19-10-8-15(13-20(19)24-2)18(22)9-7-14-11-12-21-17-6-4-3-5-16(14)17/h3-13H,1-2H3/b9-7+",CTRMPTDLHDNYPK-VQHVLOKHSA-N,319.120843,C20H17NO3,319.35388,48.4,276000,0,15.6,"(E)-1-(3,4-dimethoxyphenyl)-3-quinolin-4-ylprop-2-en-1-one","(E)-1-(3,4-dimethoxyphenyl)-3-(4-quinolyl)prop-2-en-1-one",0,0,ligprep_3.sdf,6,55137,0,W2NIXTFbY0hdYyhPW0NIM10pYyhPW0NIM10pW2NIXWMxQyg9TylcW0NIXT1bQ0hdXGMyW2NIXVtjSF1uYyhjMjMpW2NIXVtjSF1bY0hdW2NIXTM=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,0.0061,0.0,0.0061,0.0045,0.00446107852494083,0,0,6_10_16_15_E,,S-OPLS,46.621904,1,19561091-1,221.414962768555,28.3244285583496,34.5583953857422,-26.9678821563721,4.52551357499331e-10,153.913238525391,83.5657272338867,-51.978931427002,1,0.0483939424157143,19561091,3.9,,,0,0,0,0,0,6,1,0,319.359,1.404,613.265,190.765,66.225,356.275,0.0,1057.318,0.0,4.5,0.0018647,0.0,0.8184413,35.71,10.975,13.888,7.178,3.96,-4.506,-4.727,-6.169,2332.869,-0.457,1235.936,-0.909,8.975,1.469,3,0.229,3,100.0,0.0,0.0,54.99,4,0,0,16,0,16,0,24,1.22970422923204
C[NH+](C)CCNC(=O)CC[C@@H](C)[C@@H](CC1)[C@@](C)([C@H](C2)OC(=O)C)[C@@H]1[C@H]([C@@H](C3)OC(=O)C)[C@H]2[C@@](C)(CC4)[C@H]3CC45OO[C@@]6(OO5)CCC(C)CC6,23631549,2,23631549,"InChI=1S/C39H64N2O9/c1-24-13-15-38(16-14-24)47-49-39(50-48-38)18-17-36(5)28(23-39)21-32(45-26(3)42)35-30-11-10-29(25(2)9-12-34(44)40-19-20-41(7)8)37(30,6)33(22-31(35)36)46-27(4)43/h24-25,28-33,35H,9-23H2,1-8H3,(H,40,44)/t24?,25-,28-,29-,30+,31+,32-,33+,35+,36+,37-,38?,39?/m1/s1",BXXUZQFPCCQGDX-FLGZJGKZSA-N,704.461182,C39H64N2O9,704.93346,122.0,298594,1,77.0,,,1,0,ligprep_3.sdf,7,55137,0,W0NIM11OKFtDSDNdKVtDSDJdW0NIMl1bTkhdQyg9TylbQ0gyXVtDSDJdW0NAQEhdKFtDSDNdKVtDQEBIXShbQ0gyXVtDSDJdMSlbQ0BAXShbQ0gzXSkoW0NASF0oW0NIMl0yKU9DKD1PKVtDSDNdKVtDQEBIXTFbQ0BIXShbQ0BASF0oW0NIMl0zKU9DKD1PKVtDSDNdKVtDQEhdMltDQEBdKFtDSDNdKShbQ0gyXVtDSDJdNClbQ0BIXTNbQ0gyXUM0NU9PW0NAQF02KE9PNSlbQ0gyXVtDSDJdW0NIXShbQ0gzXSlbQ0gyXVtDSDJdNg==,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,0.0041,0.0041,0.0,0.0029,0.00705577857652871,1,1,,,S-OPLS,50.853475,1,23631549-1,-223.404937744141,38.6824226379395,107.877265930176,-8.89083003997803,0.0308603253215551,94.1535186767578,-152.673385620117,-302.584808349609,1,0.0470142029225826,23631549,6.7,,This compound has an ester and may undergo hydrolysis at high or low pH.,8,1,0,0,1,9,6,-2,704.943,3.89,1119.884,967.203,152.681,0.0,0.0,2210.966,1.0,11.5,0.0068437,0.0102689,0.7329036,76.55,20.453,33.213,16.093,6.065,-8.538,-7.343,-5.206,55.945,-1.475,39.612,-5.532,9.325,-0.224,2,1.517,1,54.865,0.0,24.77,152.247,11,3,1,27,0,27,23,50,6.00209303368734e-09
C[NH+](C)CCNC(=O)CC[C@@H](C)[C@@H](CC1)[C@@](C)([C@H](C2)OC(=O)C)[C@@H]1[C@H](CC3)[C@H]2[C@@](C)(CC4)[C@H]3CC45OO[C@@]6(OO5)CCC(C)CC6,23631547,2,23631547,"InChI=1S/C37H62N2O7/c1-24-14-16-36(17-15-24)43-45-37(46-44-36)19-18-34(4)27(23-37)9-10-28-30-12-11-29(25(2)8-13-33(41)38-20-21-39(6)7)35(30,5)32(22-31(28)34)42-26(3)40/h24-25,27-32H,8-23H2,1-7H3,(H,38,41)/t24?,25-,27-,28+,29-,30+,31+,32+,34+,35-,36?,37?/m1/s1",QXDAVDALEGIYMU-XDGQHLFSSA-N,646.455702,C37H62N2O7,646.89738,95.6,298594,1,120.0,,,1,0,ligprep_3.sdf,8,55137,0,W0NIM11OKFtDSDNdKVtDSDJdW0NIMl1bTkhdQyg9TylbQ0gyXVtDSDJdW0NAQEhdKFtDSDNdKVtDQEBIXShbQ0gyXVtDSDJdMSlbQ0BAXShbQ0gzXSkoW0NASF0oW0NIMl0yKU9DKD1PKVtDSDNdKVtDQEBIXTFbQ0BIXShbQ0gyXVtDSDJdMylbQ0BIXTJbQ0BAXShbQ0gzXSkoW0NIMl1bQ0gyXTQpW0NASF0zW0NIMl1DNDVPT1tDQEBdNihPTzUpW0NIMl1bQ0gyXVtDSF0oW0NIM10pW0NIMl1bQ0gyXTY=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,0.0041,0.0041,0.0,0.0029,0.00705577857652871,1,1,,,S-OPLS,52.761402,1,23631547-1,-63.7704391479492,37.2522315979004,101.315719604492,-2.80515241622925,0.0362935550510883,96.6406478881836,-47.6260414123535,-248.584136962891,1,0.0406220257282257,23631547,7.4,>,This compound has an ester and may undergo hydrolysis at high or low pH.,8,1,0,0,1,8,5,0,646.906,4.148,1052.757,947.66,105.098,0.0,0.0,2065.704,1.0,9.5,0.0083278,0.0090239,0.7451016,71.379,18.657,30.16,13.144,6.366,-8.671,-6.998,-5.008,188.701,-0.782,121.772,-4.751,8.831,-0.264,2,1.619,1,79.033,0.0,15.124,114.678,9,2,1,27,0,27,23,46,2.44992492528127e-08
OC[C@@H]1C=C[C@@H](O1)n(c([n-]2)=O)cc([124I])c2=O,44436401,2,44436401,"InChI=1S/C9H9IN2O4/c10-6-3-12(9(15)11-8(6)14)7-2-1-5(4-13)16-7/h1-3,5,7,13H,4H2,(H,11,14,15)/t5-,7?/m0/s1/i10-3",NMXNXIYEWKFGMD-MLRHKOPLSA-N,332.962442,C9H9IN2O4,333.08497,78.9,303431,1,204.0,"1-[(5S)-5-(hydroxymethyl)-2,5-dihydrofuran-2-yl]-5-iodanylpyrimidine-2,4-dione","5-iodanyl-1-[(5S)-5-methylol-2,5-dihydrofuran-2-yl]pyrimidine-2,4-quinone",1,0,ligprep_3.sdf,9,55137,0,WzEyNEldYyhbY0hdMSljKD1PKVtuSF1jKD1PKW4xW0NAQEhdMk9bQ0BASF0oW0NIXT1bQ0hdMilbQ0gyXVtPSF0=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,1.8107,0.0,1.8107,1.9252,1.92517861997028,-1,1,,,S-OPLS,30.319037,1,44436401-3,-209.823120117188,21.2627544403076,65.7001953125,-32.9545288085938,0.0135643109679222,78.3988418579102,-16.620756149292,-325.623199462891,1,0.00601491145789623,44436401,,,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde.",0,0,0,0,0,2,0,-1,336.086,6.308,417.689,77.627,151.367,106.194,82.5,701.126,2.0,6.9,0.0567446,0.023362,0.9137814,21.635,7.794,14.679,11.79,0.337,-2.086,-3.84,-3.434,363.482,-0.563,469.052,-3.743,9.001,1.38,4,-0.633,3,74.746,0.0,0.0,102.419,6,0,0,11,0,11,2,16,0.498535180461576
OC[C@@H]1[C@@H](O)C[C@@H](O1)n(c([n-]2)=O)cc(I)c2=O,5905,2,5905,"InChI=1S/C9H11IN2O5/c10-4-2-12(9(16)11-8(4)15)7-1-5(14)6(3-13)17-7/h2,5-7,13-14H,1,3H2,(H,11,15,16)/t5-,6+,7+/m0/s1",XQFRJNBWHJMXHO-RRKCRQDMSA-N,353.971269,C9H11IN2O5,354.09851,99.1,303431,1,74.4,"1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-iodopyrimidine-2,4-dione","1-[(2R,4S,5R)-4-hydroxy-5-methylol-tetrahydrofuran-2-yl]-5-iodo-pyrimidine-2,4-quinone",1,0,ligprep_3.sdf,10,55137,0,SWMoW2NIXTEpYyg9TylbbkhdYyg9TyluMVtDQEBIXShbQ0gyXVtDQEBIXTJbT0hdKU9bQ0BASF0yW0NIMl1bT0hd,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,,2.1169,0.0,2.1169,2.2542,2.25422757171215,-1,1,,,S-OPLS,37.208143,1,5905-2,-217.908645629883,21.4593124389648,65.8220520019531,-5.98252582550049,0.085684135556221,83.7453231811523,-61.9654388427734,-321.073059082031,1,0.0425677187740803,5905,,,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde.",0,0,0,0,0,3,0,-2,354.101,5.365,437.272,126.295,208.117,20.354,82.506,741.6,3.0,8.6,0.0388062,0.0340649,0.9061354,21.793,8.16,16.959,14.557,-0.545,-2.072,-3.418,-3.148,105.275,-1.105,122.905,-4.995,9.007,1.38,3,-0.734,2,59.949,0.0,0.0,124.17,7,0,0,11,0,11,4,17,0.0303142495872547
