molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"44563195",0,1,0,0,0,6,0,1,394.549,7.157,723.554,477.513,81.763,94.788,69.490,1278.890,1.000,6.500,0.0400502,0.0089834,0.7874977,42.080,12.139,19.104,9.229,3.855,-5.106,-4.222,-6.149,414.417,-0.108,507.447,-4.179,9.152,1.315,4,0.542,3,96.364,0.000,0.000,80.816,6,0,16,0,16,5,26,0,0.000
"44563194",0,1,0,0,0,6,0,1,394.549,5.787,736.011,472.282,99.335,94.848,69.545,1289.234,1.000,6.500,0.0259728,0.0088314,0.7783391,42.494,12.396,19.104,9.379,3.794,-5.337,-4.222,-6.297,282.361,-0.322,335.414,-4.503,9.075,1.238,4,0.565,3,93.027,0.000,0.000,84.704,6,0,16,0,16,5,26,0,0.000
"44563158",0,1,0,0,0,6,0,1,394.549,7.410,698.302,470.432,84.720,77.776,65.374,1261.843,1.000,6.500,0.0435134,0.0093083,0.8087083,41.235,11.795,18.911,9.071,3.702,-4.664,-4.222,-5.724,388.509,-0.103,449.304,-4.293,9.022,1.138,4,0.507,3,94.967,0.000,0.000,81.184,6,0,16,0,16,5,26,0,0.000
"44563158",0,1,0,0,0,6,0,1,394.549,7.584,735.839,472.468,99.307,94.631,69.432,1289.203,1.000,6.500,0.0446172,0.0088335,0.7785083,42.491,12.393,19.358,9.377,3.794,-5.334,-4.222,-6.293,282.534,-0.322,335.160,-4.503,9.118,1.278,4,0.565,3,93.028,0.000,0.000,84.695,6,0,16,0,16,5,26,0,0.000
"44563158",0,1,0,0,0,6,0,1,394.549,5.787,736.011,472.282,99.335,94.848,69.545,1289.234,1.000,6.500,0.0259728,0.0088314,0.7783391,42.494,12.396,19.104,9.379,3.794,-5.337,-4.222,-6.297,282.361,-0.322,335.414,-4.503,9.075,1.238,4,0.565,3,93.027,0.000,0.000,84.704,6,0,16,0,16,5,26,0,0.000
"44563158",0,1,0,0,0,6,0,1,394.549,7.157,723.554,477.513,81.763,94.788,69.490,1278.890,1.000,6.500,0.0400502,0.0089834,0.7874977,42.080,12.139,19.104,9.229,3.855,-5.106,-4.222,-6.149,414.417,-0.108,507.447,-4.179,9.152,1.315,4,0.542,3,96.364,0.000,0.000,80.816,6,0,16,0,16,5,26,0,0.000
"44563157",0,1,0,0,0,6,0,1,394.549,7.572,738.971,484.268,90.657,94.604,69.442,1292.413,1.000,6.500,0.0443587,0.0087960,0.7764945,42.619,12.371,19.348,9.326,3.873,-5.365,-4.222,-6.326,341.271,-0.232,411.119,-4.344,9.115,1.274,4,0.573,3,94.960,0.000,0.000,83.325,6,0,16,0,16,5,26,0,0.000
"44563157",0,1,0,0,0,6,0,1,394.549,6.994,733.881,493.907,75.855,94.607,69.513,1286.811,1.000,6.500,0.0380174,0.0088570,0.7796192,42.395,12.200,19.123,9.213,3.942,-5.261,-4.222,-6.275,471.488,-0.061,583.553,-4.071,9.148,1.308,4,0.560,3,100.000,0.000,0.000,79.639,6,0,16,0,16,5,26,0,0.000
"44563157",0,1,0,0,0,6,0,1,394.549,7.405,705.779,484.414,78.067,79.957,63.342,1266.167,1.000,6.500,0.0433022,0.0092097,0.8019676,41.429,11.804,18.908,9.058,3.767,-4.785,-4.222,-5.844,449.257,-0.053,512.394,-4.163,8.966,1.138,4,0.515,3,96.475,0.000,0.000,80.046,6,0,16,0,16,5,26,0,0.000
"44563157",0,1,0,0,0,6,0,1,394.549,5.756,739.335,484.268,90.491,94.982,69.594,1292.814,1.000,6.500,0.0256289,0.0087917,0.7762728,42.639,12.378,19.098,9.328,3.877,-5.371,-4.222,-6.331,342.509,-0.230,413.526,-4.339,9.070,1.235,4,0.574,3,95.015,0.000,0.000,84.025,6,0,16,0,16,5,26,0,0.000
